,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
8474,Adoption,Dog,Spayed Female,6 months,Labrador Retriever/Border Collie,Black/White
8475,Transfer,Cat,Intact Female,2 months,Domestic Longhair Mix,Orange Tabby
8476,Transfer,Dog,Spayed Female,8 months,Anatol Shepherd/Redbone Hound,Red/Black
8477,Adoption,Dog,Neutered Male,1 year,German Shepherd Mix,White
8478,Return_to_owner,Dog,Spayed Female,2 years,Chihuahua Shorthair/Dachshund,White/Tan
8479,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby
8480,Adoption,Dog,Neutered Male,10 months,Labrador Retriever Mix,Black
8481,Return_to_owner,Dog,Spayed Female,3 years,Dachshund Mix,Red
8482,Adoption,Dog,Neutered Male,2 years,Pembroke Welsh Corgi,Sable/White
8483,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Tan
8484,Transfer,Dog,Neutered Male,10 months,Whippet Mix,White/Brown Merle
8485,Transfer,Dog,Unknown,6 months,Boxer Mix,Black
8486,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
8487,Euthanasia,Cat,Neutered Male,12 years,Domestic Longhair Mix,Blue Tabby/White
8488,Euthanasia,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
8489,Transfer,Cat,Intact Female,1 month,Siamese Mix,Lynx Point
8490,Adoption,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby
8491,Return_to_owner,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black/White
8492,Transfer,Cat,Intact Female,7 months,Domestic Shorthair Mix,Calico
8493,Adoption,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Tan
8494,Adoption,Dog,Neutered Male,4 months,Catahoula Mix,Tan/White
8495,Adoption,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black/White
8496,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby
8497,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
8498,Adoption,Dog,Spayed Female,2 months,Manchester Terrier/Dachshund,Tricolor
8499,Adoption,Dog,Neutered Male,6 years,Pit Bull,White/Tan
8500,Euthanasia,Dog,Spayed Female,5 years,American Pit Bull Terrier,Brown
8501,Adoption,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Blue Merle
8502,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,White/Black
8503,Transfer,Dog,Neutered Male,4 months,Border Collie/Queensland Heeler,Black/White
8504,Adoption,Dog,Spayed Female,2 years,Jack Russell Terrier/Pointer,White/Brown
8505,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White
8506,Return_to_owner,Dog,Intact Female,4 years,Pit Bull Mix,Black/White
8507,Transfer,Cat,Intact Female,1 week,Domestic Shorthair Mix,Orange Tabby/White
8508,Transfer,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
8509,Adoption,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Brown
8510,Return_to_owner,Dog,Spayed Female,9 months,Border Collie Mix,Tricolor
8511,Transfer,Cat,Unknown,2 years,Domestic Medium Hair Mix,Brown Tabby/White
8512,Transfer,Dog,Spayed Female,1 month,German Shepherd Mix,Black/Brown
8513,Adoption,Dog,Neutered Male,11 years,Catahoula Mix,Blue Merle
8514,Adoption,Cat,Neutered Male,11 months,Domestic Shorthair,Blue
8515,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
8516,Adoption,Dog,Spayed Female,6 years,Australian Cattle Dog/Beagle,Blue Tick/Black
8517,Transfer,Cat,Neutered Male,2 years,Himalayan Mix,Seal Point
8518,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Cream Tabby
8519,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Torbie
8520,Return_to_owner,Dog,Spayed Female,3 years,Pit Bull Mix,Brown Brindle/White
8521,Transfer,Dog,Intact Female,2 years,Australian Cattle Dog Mix,Red Tick
8522,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby
8523,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
8524,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown
8525,Transfer,Dog,Intact Male,2 years,Lhasa Apso Mix,Gray/White
8526,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
8527,Return_to_owner,Dog,Spayed Female,2 years,Beagle Mix,White/Red
8528,Transfer,Cat,Unknown,6 months,Domestic Shorthair Mix,Black
8529,Adoption,Dog,Spayed Female,10 months,Pit Bull Mix,Blue
8530,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair/Dachshund,Brown/White
8531,Euthanasia,Dog,Neutered Male,3 years,Australian Cattle Dog,Black/Tan
8532,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,White
8533,Return_to_owner,Dog,Neutered Male,2 years,Great Pyrenees Mix,White/Buff
8534,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black Smoke
8535,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue
8536,Return_to_owner,Dog,Spayed Female,1 year,Golden Retriever Mix,Red
8537,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
8538,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
8539,Adoption,Dog,Neutered Male,2 months,Doberman Pinsch Mix,Chocolate/Tan
8540,Adoption,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black
8541,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
8542,Transfer,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor
8543,Euthanasia,Dog,Intact Male,6 years,German Shepherd/Chow Chow,Brown/Black
8544,Transfer,Dog,Intact Male,1 year,Pit Bull Mix,Black/White
8545,Return_to_owner,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/Brown
8546,Return_to_owner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Buff
8547,Return_to_owner,Dog,Neutered Male,2 years,Australian Cattle Dog/Chow Chow,White/Tan
8548,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
8549,Transfer,Dog,Neutered Male,2 months,American Bulldog Mix,White
8550,Transfer,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black/White
8551,Transfer,Dog,Neutered Male,11 months,Dogo Argentino Mix,White
8552,Return_to_owner,Dog,Spayed Female,4 years,Pit Bull Mix,Tan/White
8553,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue/White
8554,Adoption,Dog,Spayed Female,2 years,Basset Hound Mix,White/Black
8555,Transfer,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,White
8556,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
8557,Transfer,Cat,Intact Male,5 months,Domestic Shorthair Mix,Black
8558,Euthanasia,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
8559,Adoption,Dog,Spayed Female,1 year,Boxer/Redbone Hound,Brown/Red
8560,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
8561,Return_to_owner,Cat,Spayed Female,13 years,Domestic Shorthair Mix,Torbie
8562,Transfer,Dog,Neutered Male,1 year,Dachshund Mix,Black/Tan
8563,Adoption,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown
8564,Transfer,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/White
8565,Adoption,Dog,Neutered Male,2 months,Pit Bull Mix,White/Tan
8566,Adoption,Dog,Neutered Male,2 months,German Shepherd Mix,Brown/Black
8567,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
8568,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Plott Hound,Brown Brindle
8569,Transfer,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Calico
8570,Died,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby
8571,Adoption,Dog,Neutered Male,2 years,Labrador Retriever Mix,White/Tan
8572,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
8573,Adoption,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Brown/Black
8574,Adoption,Dog,Spayed Female,1 year,Belgian Malinois Mix,Brown/White
8575,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
8576,Adoption,Dog,Intact Female,6 years,English Bulldog,White/Brown Brindle
8577,Adoption,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby
8578,Adoption,Dog,Neutered Male,1 year,Jack Russell Terrier Mix,Brown/White
8579,Transfer,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
8580,Return_to_owner,Dog,Neutered Male,9 years,Collie Rough Mix,Brown
8581,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
8582,Adoption,Dog,Neutered Male,2 years,Havanese Mix,Brown/Buff
8583,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull Mix,Red
8584,Adoption,Cat,Neutered Male,13 years,Siamese Mix,Lilac Point
8585,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
8586,Transfer,Cat,Intact Female,4 weeks,Snowshoe Mix,Seal Point
8587,Return_to_owner,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Brown
8588,Adoption,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
8589,Euthanasia,Dog,Neutered Male,4 years,Rottweiler Mix,Chocolate/Tan
8590,Transfer,Dog,Neutered Male,9 months,Labrador Retriever/Pit Bull,Black/White
8591,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Brown
8592,Adoption,Dog,Spayed Female,2 years,Miniature Poodle Mix,White
8593,Return_to_owner,Dog,Intact Male,4 months,Pit Bull Mix,Chocolate/White
8594,Adoption,Dog,Neutered Male,3 years,Plott Hound Mix,Brown
8595,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Black/White
8596,Euthanasia,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue
8597,Return_to_owner,Dog,Spayed Female,3 years,Pit Bull/Chinese Sharpei,White/Black
8598,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie/White
8599,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
8600,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
8601,Return_to_owner,Dog,Intact Male,8 years,Chow Chow/Labrador Retriever,Red
8602,Transfer,Dog,Neutered Male,6 years,Basset Hound,Tricolor
8603,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Brown Tabby
8604,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
8605,Return_to_owner,Dog,Spayed Female,7 years,Pit Bull Mix,Black Brindle/White
8606,Return_to_owner,Dog,Intact Male,4 years,Blue Lacy Mix,Blue/White
8607,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair/Boston Terrier,Black/White
8608,Return_to_owner,Dog,Spayed Female,6 months,Chihuahua Shorthair Mix,Black/White
8609,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
8610,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
8611,Transfer,Dog,Intact Male,1 year,Miniature Schnauzer Mix,Brown/Black
8612,Transfer,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Buff/White
8613,Transfer,Dog,Intact Female,3 months,Labrador Retriever Mix,Yellow
8614,Adoption,Dog,Neutered Male,1 year,Cairn Terrier Mix,Black/White
8615,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
8616,Adoption,Dog,Spayed Female,2 years,Border Collie/Labrador Retriever,Chocolate
8617,Transfer,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown
8618,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
8619,Transfer,Dog,Spayed Female,3 years,Labrador Retriever Mix,Red
8620,Euthanasia,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
8621,Transfer,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue
8622,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black
8623,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
8624,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black Tabby/White
8625,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
8626,Adoption,Dog,Neutered Male,1 year,Australian Shepherd Mix,Brown
8627,Transfer,Dog,Intact Female,6 months,German Shepherd,Brown/Black
8628,Adoption,Cat,Neutered Male,3 months,Snowshoe Mix,Lynx Point
8629,Return_to_owner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/White
8630,Adoption,Cat,Spayed Female,3 months,Siamese Mix,Lynx Point
8631,Return_to_owner,Dog,Spayed Female,2 years,Dutch Shepherd Mix,Brown Brindle
8632,Return_to_owner,Dog,Spayed Female,4 years,Boxer Mix,Fawn/White
8633,Adoption,Dog,Neutered Male,4 months,Cairn Terrier Mix,Brown
8634,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Torbie
8635,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
8636,Return_to_owner,Dog,Neutered Male,7 months,Siberian Husky/German Shepherd,Sable
8637,Transfer,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
8638,Adoption,Dog,Spayed Female,7 months,Boxer Mix,White/Black
8639,Died,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby/White
8640,Transfer,Dog,Spayed Female,9 years,Labrador Retriever Mix,Yellow/White
8641,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
8642,Adoption,Cat,Spayed Female,2 months,Siamese Mix,Tortie Point
8643,Return_to_owner,Dog,Intact Male,1 year,Rottweiler Mix,Black/Tan
8644,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black/White
8645,Adoption,Dog,Spayed Female,10 months,German Shepherd/Border Collie,Black/White
8646,Return_to_owner,Dog,Neutered Male,4 years,Pit Bull Mix,Yellow Brindle/Tan
8647,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Tan
8648,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby
8649,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby
8650,Return_to_owner,Dog,Neutered Male,1 year,Labrador Retriever/Pit Bull,Chocolate/White
8651,Adoption,Dog,Neutered Male,1 year,Miniature Poodle Mix,White
8652,Adoption,Dog,Spayed Female,4 years,Labrador Retriever/Pointer,Black/White
8653,Transfer,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tricolor
8654,Adoption,Dog,Neutered Male,11 months,Australian Cattle Dog/Rat Terrier,Blue Tick/Tan
8655,Adoption,Dog,Spayed Female,2 years,Labrador Retriever,White/Tan
8656,Return_to_owner,Dog,Spayed Female,2 years,Miniature Pinscher Mix,Chocolate/Brown
8657,Return_to_owner,Dog,Neutered Male,1 year,Labrador Retriever Mix,White
8658,Return_to_owner,Dog,Neutered Male,2 years,Basset Hound/Labrador Retriever,Brown/White
8659,Return_to_owner,Dog,Neutered Male,9 months,Chihuahua Shorthair/Miniature Pinscher,Brown
8660,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby
8661,Transfer,Dog,Spayed Female,6 years,Dachshund Mix,Red
8662,Adoption,Dog,Spayed Female,3 years,Rat Terrier Mix,White/Brown
8663,Adoption,Dog,Spayed Female,3 years,Bruss Griffon Mix,White/Brown
8664,Transfer,Cat,Intact Female,1 week,Domestic Shorthair Mix,Blue Tabby
8665,Return_to_owner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,White
8666,Transfer,Dog,Spayed Female,1 month,German Shepherd Mix,Tricolor/White
8667,Adoption,Cat,Spayed Female,6 months,Domestic Longhair Mix,Black Smoke
8668,Transfer,Cat,Unknown,4 months,Domestic Shorthair Mix,Orange Tabby
8669,Transfer,Dog,Neutered Male,1 year,Bruss Griffon,Tan
8670,Adoption,Dog,Spayed Female,5 years,Chihuahua Shorthair/Cairn Terrier,Brown/White
8671,Adoption,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie/White
8672,Euthanasia,Dog,Intact Male,6 months,Pit Bull/Labrador Retriever,Black/White
8673,Adoption,Dog,Neutered Male,2 months,Boxer Mix,Brown Brindle/White
8674,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby/White
8675,Transfer,Dog,Neutered Male,11 months,Labrador Retriever/Border Collie,Chocolate/White
8676,Transfer,Dog,Intact Male,3 weeks,Labrador Retriever Mix,White
8677,Return_to_owner,Dog,Neutered Male,1 year,Basset Hound Mix,Tricolor
8678,Transfer,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black/White
8679,Adoption,Dog,Intact Female,2 months,Australian Cattle Dog Mix,Red Tick/Brown Merle
8680,Transfer,Dog,Intact Female,2 years,Doberman Pinsch Mix,Blue/Tan
8681,Transfer,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Buff
8682,Transfer,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange/White
8683,Died,Cat,Intact Female,4 months,Domestic Shorthair Mix,Blue Cream
8684,Transfer,Dog,Spayed Female,1 year,Labrador Retriever Mix,Yellow
8685,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Calico
8686,Euthanasia,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Tortie
8687,Died,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
8688,Transfer,Dog,Spayed Female,2 years,Labrador Retriever Mix,Buff
8689,Adoption,Dog,Spayed Female,5 years,Cocker Spaniel Mix,Tan/White
8690,Euthanasia,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
8691,Adoption,Dog,Spayed Female,2 months,Boxer Mix,Black Brindle
8692,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
8693,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Brown Tabby
8694,Adoption,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico/White
8695,Transfer,Dog,Intact Female,2 days,Pit Bull Mix,White/Chocolate
8696,Return_to_owner,Dog,Spayed Female,13 years,Miniature Poodle Mix,White
8697,Return_to_owner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/White
8698,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
8699,Died,Cat,Unknown,1 year,Domestic Shorthair Mix,White
8700,Return_to_owner,Dog,Neutered Male,1 year,Basset Hound/Pit Bull,White/Brown
8701,Return_to_owner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Red
8702,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
8703,Transfer,Cat,Spayed Female,1 year,Russian Blue Mix,Blue
8704,Adoption,Dog,Spayed Female,5 months,Labrador Retriever/Pit Bull,Black/White
8705,Transfer,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Yellow
8706,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
8707,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
8708,Transfer,Dog,Intact Female,1 month,Plott Hound Mix,Black/Brown Brindle
8709,Transfer,Dog,Intact Male,2 days,Pit Bull Mix,White/Blue
8710,Adoption,Dog,Spayed Female,2 months,Border Terrier Mix,Tan/White
8711,Transfer,Cat,Unknown,10 months,Domestic Shorthair Mix,Black
8712,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
8713,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Brown Tabby/White
8714,Transfer,Dog,Intact Male,3 years,Boxer Mix,Yellow Brindle
8715,Return_to_owner,Dog,Neutered Male,9 months,Pit Bull Mix,Blue/White
8716,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
8717,Adoption,Dog,Neutered Male,1 year,Dachshund Longhair/Pembroke Welsh Corgi,Red
8718,Died,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red/White
8719,Return_to_owner,Dog,Neutered Male,4 years,Basset Hound Mix,White/Brown
8720,Adoption,Dog,Spayed Female,2 months,Carolina Dog Mix,Tan/White
8721,Transfer,Cat,Neutered Male,2 months,Siamese/Domestic Shorthair,Lynx Point/Brown Tabby
8722,Transfer,Dog,Intact Male,4 months,Pointer Mix,Black/White
8723,Adoption,Dog,Spayed Female,3 years,German Shepherd Mix,Tan/Black
8724,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/White
8725,Transfer,Dog,Intact Female,2 years,Pit Bull Mix,Black
8726,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby
8727,Adoption,Dog,Neutered Male,3 years,Border Collie Mix,Black/White
8728,Adoption,Dog,Spayed Female,2 months,Anatol Shepherd Mix,Tan/Black
8729,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
8730,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
8731,Return_to_owner,Dog,Spayed Female,3 years,Shih Tzu,White/Black
8732,Transfer,Dog,Intact Male,7 years,Yorkshire Terrier Mix,Black/Brown
8733,Return_to_owner,Dog,Intact Male,5 months,Bull Terrier Miniature,White
8734,Euthanasia,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
8735,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
8736,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
8737,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie/White
8738,Adoption,Dog,Spayed Female,1 year,Queensland Heeler Mix,Tan/White
8739,Transfer,Dog,Neutered Male,3 months,Border Collie/Boxer,Black/White
8740,Transfer,Dog,Intact Female,3 weeks,Australian Kelpie Mix,Black/White
8741,Adoption,Dog,Spayed Female,6 months,Australian Kelpie Mix,Red/White
8742,Adoption,Dog,Neutered Male,1 year,Miniature Poodle Mix,Tan
8743,Return_to_owner,Dog,Spayed Female,2 years,Chihuahua Shorthair,Brown
8744,Transfer,Cat,Spayed Female,11 months,Domestic Shorthair Mix,Brown Tabby
8745,Adoption,Dog,Neutered Male,3 months,Australian Shepherd Mix,Tricolor
8746,Adoption,Dog,Spayed Female,2 months,Australian Kelpie Mix,Chocolate/Tan
8747,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Red
8748,Return_to_owner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
8749,Adoption,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
8750,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
8751,Adoption,Dog,Spayed Female,7 years,Rottweiler/Labrador Retriever,Black/Tan
8752,Adoption,Dog,Spayed Female,2 months,Rat Terrier,Tan
8753,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
8754,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby/White
8755,Euthanasia,Dog,Spayed Female,1 year,Queensland Heeler/Pit Bull,White/Tan
